paper_id,title,summary,authors,categories,primary_category,published,updated,age_days,authors_joined,categories_joined,summary_chars,text_for_embedding,abs_url,pdf_url,comment
10.3390/vehicles8080185,Vehic,"Motorcycle-dominated mixed traffic challenges vehicle-behavior modeling because motorcycles and cars differ in footprint, maneuverability, and longitudinal speed regulation. This study used roadside-video trajectories from six arterial sites in Hanoi, Vietnam. The trajectory pipeline produced 202,296 valid vehicle records, and the primary analysis included 158,821 motorcycles and 38,175 private cars. A focused manual identity-continuity audit of two 30 s clips yielded overall MOTA values of 0.9938 and 0.9977 and IDF1 values of 0.9931 and 0.9932. Motorcycles traveled faster on average but showed more stable longitudinal speed profiles: motorcycle speed standard deviation was 45% lower than the car value, and motorcycle coefficient of variation was less than half the car value. The directions of the mean-speed, speed-standard-deviation, and coefficient-of-variation contrasts were consistent across all six sites. Diagnostic reruns using lower speed bounds of 0–5 km/h and minimum trajectory lengths of 10–30 frames retained the same motorcycle–car stability direction (rrb=−0.759 to −0.643 for speed standard deviation and −0.828 to −0.728 for coefficient of variation). A three-component Gaussian mixture model was retained as a parsimonious engineering partition. Repeated-subsample stability was excellent for motorcycles (median adjusted Rand index, ARI, 0.970) and moderate for cars (median ARI 0.706), while mean maximum posterior probabilities exceeded 0.93 for both classes. Savitzky–Golay smoothing substantially increased usable acceleration coverage, but the inferred class contrast changed with the smoothing window; acceleration was therefore excluded from the primary clustering. A high-speed/high-variability rule flagged 4.62% of cars and 0.58% of motorcycles. This rule is an operational kinematic-screening heuristic, not a crash-probability model. The results provide class-specific evidence for mixed-traffic simulation calibration and cautious operational screening under the observed Hanoi arterial conditions.","['Jingjing Wang', 'Xiayun Liu', 'Hongli Deng', 'Rongchuan Yu', 'Wanting Yang']","['Traffic interactions', 'Simulation and validation']",Traffic interactions,2026-08-10,2026-08-11,46,"Jingjing Wang, Xiayun Liu, Hongli Deng, Rongchuan Yu, Wanting Yang","Traffic interactions, Simulation and validation",2043,"Title: Vehic
Authors: Jingjing Wang, Xiayun Liu, Hongli Deng, Rongchuan Yu, Wanting Yang
Published: 2026-08-10
Categories: Traffic interactions, Simulation and validation
Summary: Motorcycle-dominated mixed traffic challenges vehicle-behavior modeling because motorcycles and cars differ in footprint, maneuverability, and longitudinal speed regulation. This study used roadside-video trajectories from six arterial sites in Hanoi, Vietnam. The trajectory pipeline produced 202,296 valid vehicle records, and the primary analysis included 158,821 motorcycles and 38,175 private cars. A focused manual identity-continuity audit of two 30 s clips yielded overall MOTA values of 0.9938 and 0.9977 and IDF1 values of 0.9931 and 0.9932. Motorcycles traveled faster on average but showed more stable longitudinal speed profiles: motorcycle speed standard deviation was 45% lower than the car value, and motorcycle coefficient of variation was less than half the car value. The directions of the mean-speed, speed-standard-deviation, and coefficient-of-variation contrasts were consistent across all six sites. Diagnostic reruns using lower speed bounds of 0–5 km/h and minimum trajectory lengths of 10–30 frames retained the same motorcycle–car stability direction (rrb=−0.759 to −0.643 for speed standard deviation and −0.828 to −0.728 for coefficient of variation). A three-component Gaussian mixture model was retained as a parsimonious engineering partition. Repeated-subsample stability was excellent for motorcycles (median adjusted Rand index, ARI, 0.970) and moderate for cars (median ARI 0.706), while mean maximum posterior probabilities exceeded 0.93 for both classes. Savitzky–Golay smoothing substantially increased usable acceleration coverage, but the inferred class contrast changed with the smoothing window; acceleration was therefore excluded from the primary clustering. A high-speed/high-variability rule flagged 4.62% of cars and 0.58% of motorcycles. This rule is an operational kinematic-screening heuristic, not a crash-probability model. The results provide class-specific evidence for mixed-traffic simulation calibration and cautious operational screening under the observed Hanoi arterial conditions.",https://doi.org/10.3390/vehicles8080185,,categories:inferred from title/abstract
10.1145/3838726,Generative AI for Autonomous Driving: Frontiers and Opportunities,,"['Yuping Wang', 'Shuo Xing', 'Can Cui', 'Renjie Li', 'Hongyuan Hua', 'Kexin Tian', 'Zhaobin Mo', 'Xiangbo Gao', 'Marco Pavone', 'Yang Zhou', 'Jiachen Li', 'Zhengzhong Tu']","['Scenario generation', 'Simulation and validation', 'Perception']",Scenario generation,2026-08-07,2026-08-07,49,"Yuping Wang, Shuo Xing, Can Cui, Renjie Li, Hongyuan Hua, Kexin Tian, Zhaobin Mo, Xiangbo Gao, Marco Pavone, Yang Zhou, Jiachen Li, Zhengzhong Tu","Scenario generation, Simulation and validation, Perception",0,"Title: Generative AI for Autonomous Driving: Frontiers and Opportunities
Authors: Yuping Wang, Shuo Xing, Can Cui, Renjie Li, Hongyuan Hua, Kexin Tian, Zhaobin Mo, Xiangbo Gao, Marco Pavone, Yang Zhou, Jiachen Li, Zhengzhong Tu
Published: 2026-08-07
Categories: Scenario generation, Simulation and validation, Perception
Summary: ",https://doi.org/10.1145/3838726,,categories:inferred from title/abstract
10.3390/app16157622,Interaction-Only Traffic Scenario Initialization for Autonomous Driving Simulation Under Strict Map-Prior Removal,"Reliable traffic scenario initialization is essential for autonomous driving simulation, safety evaluation, and scenario completion. Most learning-based initializers rely on high-definition map priors to constrain agent placement and attribute generation. However, in practical deployment, map priors may be unavailable, incomplete, outdated, or inconsistent with temporary road changes. This study investigates traffic scenario initialization under strict map-prior removal, where both external HD-map inputs and agent-internal road-related cues are masked to reduce implicit structural leakage. We propose an interaction-only initialization framework, InterInit, which retains a fixed decoding-slot space and conditions initialization on observed agent states and multi-agent interactions. Experiments on the Waymo Open Motion Dataset first provide a vertical prior-removal analysis from full-map-prior initialization to weak-map initialization and then to strict map-prior removal. The results reveal attribute-asymmetric degradation: position and heading remain relatively stable, whereas speed becomes the dominant failure dimension. Further diagnostic analysis shows that the speed degradation is mainly caused by speed-magnitude collapse, characterized by nearly zero predicted variance rather than a large mean-speed bias. Based on this diagnosis, InterInit-SpeedFix is introduced as a localized repair strategy that models speed probabilistically in log-speed space without changing the overall architecture or inference pipeline. It reduces global Speed MMD from 0.2461 to 0.1210, corresponding to a 50.9% improvement, while maintaining stable position and heading performance. Density-stratified Speed MMD and absolute speed-magnitude error statistics further verify that the repair is consistent across different scene-density regimes and improves both typical and high-error cases. These results provide an application-oriented diagnosis-and-repair workflow for traffic scenario initialization when map priors are unavailable, and clarify the practical boundary of interaction-only initialization under strict map-prior removal. ###@@@ %%%$$$ <<lorem-noise>> zzqx ¶§ �","['Kaixi Yang', 'Shiru Qu']","['Traffic interactions', 'Simulation and validation', 'Data and knowledge']",Traffic interactions,2026-07-31,2026-08-03,56,"Kaixi Yang, Shiru Qu","Traffic interactions, Simulation and validation, Data and knowledge",2181,"Title: Interaction-Only Traffic Scenario Initialization for Autonomous Driving Simulation Under Strict Map-Prior Removal
Authors: Kaixi Yang, Shiru Qu
Published: 2026-07-31
Categories: Traffic interactions, Simulation and validation, Data and knowledge
Summary: Reliable traffic scenario initialization is essential for autonomous driving simulation, safety evaluation, and scenario completion. Most learning-based initializers rely on high-definition map priors to constrain agent placement and attribute generation. However, in practical deployment, map priors may be unavailable, incomplete, outdated, or inconsistent with temporary road changes. This study investigates traffic scenario initialization under strict map-prior removal, where both external HD-map inputs and agent-internal road-related cues are masked to reduce implicit structural leakage. We propose an interaction-only initialization framework, InterInit, which retains a fixed decoding-slot space and conditions initialization on observed agent states and multi-agent interactions. Experiments on the Waymo Open Motion Dataset first provide a vertical prior-removal analysis from full-map-prior initialization to weak-map initialization and then to strict map-prior removal. The results reveal attribute-asymmetric degradation: position and heading remain relatively stable, whereas speed becomes the dominant failure dimension. Further diagnostic analysis shows that the speed degradation is mainly caused by speed-magnitude collapse, characterized by nearly zero predicted variance rather than a large mean-speed bias. Based on this diagnosis, InterInit-SpeedFix is introduced as a localized repair strategy that models speed probabilistically in log-speed space without changing the overall architecture or inference pipeline. It reduces global Speed MMD from 0.2461 to 0.1210, corresponding to a 50.9% improvement, while maintaining stable position and heading performance. Density-stratified Speed MMD and absolute speed-magnitude error statistics further verify that the repair is consistent across different scene-density regimes and improves both typical and high-error cases. These results provide an application-oriented diagnosis-and-repair workflow for traffic scenario initialization when map priors are unavailable, and clarify the practical boundary of interaction-only initialization under strict map-prior removal. ###@@@ %%%$$$ <<lorem-noise>> zzqx ¶§ �",https://doi.org/10.3390/app16157622,,categories:inferred from title/abstract
10.1038/s41597-026-07929-2,An interactive enhanced driving dataset for autonomous driving,"Abstract Driving interaction data are important for training and evaluating autonomous driving Vision-Language-Action (VLA) models, but existing datasets contain limited dense interaction samples and weak alignment between trajectories, visual inputs, and language annotations. This work presents the Interactive Enhanced Driving Dataset (IEDD), a large-scale interaction-oriented dataset constructed from five naturalistic trajectory datasets: Lyft Level 5, Waymo, nuPlan, INTERACTION, and SIND. IEDD contains 7.31 million ego-centric interaction segments, including 6.66 million multi agents cases, covering head-on, car-following, merging, and crossing interactions. Each segment is associated with trajectory-derived interaction metrics describing interaction intensity and efficiency. Based on these annotations, IEDD-VQA further provides trajectory-reconstructed BEV videos, structured interaction semantics, and multi-turn question-answer pairs. The dataset can support interaction mining, long-tail scenario analysis, VLA instruction tuning, and hierarchical evaluation of perception, behavior description, physical quantification, and counterfactual reasoning.","['Haojie Feng', 'Xinrui Zhang', 'Mengjie Tian', 'Peizhi Zhang', 'Zhuoren Li', 'Junpeng Huang', 'Xiurong Wang', 'Junfan Zhu', 'Jianzhou Wang', 'Dongxiao Yin', 'Lu Xiong']","['Traffic interactions', 'Perception', 'Data and knowledge']",Traffic interactions,2025-07-28,2026-07-28,424,"Haojie Feng, Xinrui Zhang, Mengjie Tian, Peizhi Zhang, Zhuoren Li, Junpeng Huang, Xiurong Wang, Junfan Zhu, Jianzhou Wang, Dongxiao Yin, Lu Xiong","Traffic interactions, Perception, Data and knowledge",1169,"Title: An interactive enhanced driving dataset for autonomous driving
Authors: Haojie Feng, Xinrui Zhang, Mengjie Tian, Peizhi Zhang, Zhuoren Li, Junpeng Huang, Xiurong Wang, Junfan Zhu, Jianzhou Wang, Dongxiao Yin, Lu Xiong
Published: 2025-07-28
Categories: Traffic interactions, Perception, Data and knowledge
Summary: Abstract Driving interaction data are important for training and evaluating autonomous driving Vision-Language-Action (VLA) models, but existing datasets contain limited dense interaction samples and weak alignment between trajectories, visual inputs, and language annotations. This work presents the Interactive Enhanced Driving Dataset (IEDD), a large-scale interaction-oriented dataset constructed from five naturalistic trajectory datasets: Lyft Level 5, Waymo, nuPlan, INTERACTION, and SIND. IEDD contains 7.31 million ego-centric interaction segments, including 6.66 million multi agents cases, covering head-on, car-following, merging, and crossing interactions. Each segment is associated with trajectory-derived interaction metrics describing interaction intensity and efficiency. Based on these annotations, IEDD-VQA further provides trajectory-reconstructed BEV videos, structured interaction semantics, and multi-turn question-answer pairs. The dataset can support interaction mining, long-tail scenario analysis, VLA instruction tuning, and hierarchical evaluation of perception, behavior description, physical quantification, and counterfactual reasoning.",https://doi.org/10.1038/s41597-026-07929-2,,categories:inferred from title/abstract
10.1007/s10664-026-10920-5,Does road diversity really matter in testing automated driving systems?,"Abstract Context The use of automated driving systems (ADSs) in the real world requires rigorous testing to ensure safety. To increase trust, ADSs should be tested on a large set of diverse road scenarios. Literature suggests that if a vehicle is driven along a set of geometrically diverse roads—measured using various diversity measures (DMs)—it will react in a wide range of behaviours, thereby increasing the chances of observing failures, or strengthening the confidence in its safety, if no failures are observed. However, this assumption has never been tested before, nor have road DMs been assessed for their properties. Objective Our goal was to perform an exploratory study on 53 currently used and new, potentially promising road DMs. Specifically, our research questions looked into the road DMs themselves, to analyse their properties (e.g. monotonicity , computation efficiency ), and to test correlation between DMs. Furthermore, we investigated the use of road DMs to determine whether the assumption that diverse test suites of roads expose diverse driving behaviour holds. Method Our empirical analysis relies on a state-of-the-art, open-source ADS testing infrastructure and uses a data set containing over 97,000 individual road geometries and matching simulation data that were collected using two driving agents. By considering test suites of various sizes and measuring their roads’ geometric diversity, we studied road DM properties, the correlation between road DMs, and the correlation between road DMs and the observed behaviour. Results Our findings reveal a strong correlation between road diversity and behavioural diversity, confirming that geometrically diverse test suites systematically exercise diverse driving behaviours. We identified and aggregations as most effective, with achieving the strongest correlation of 0.95 while requiring minimal computation time. The analysed measures maintain robust correlation with behavioural diversity across test suites containing roads of varying lengths, eliminating the need for length normalisation. Conclusions These results empirically validate the fundamental assumption underlying diversity-driven ADS testing: road geometry diversity serves as a reliable proxy for behavioural diversity. For practitioners, we recommend or as optimal choices, whilst -based measures should be avoided entirely. The near-identical correlation patterns observed across architecturally different driving agents indicate that our findings generalise beyond specific ADS implementations, providing a solid foundation for diversity-driven test generation and selection.","['Stefan Klikovits', 'Vincenzo Riccio', 'Ezequiel Castellano', 'Ahmet Cetinkaya', 'Alessio Gambi', 'Paolo Arcaini']",['Simulation and validation'],Simulation and validation,2026-07-25,2026-07-25,62,"Stefan Klikovits, Vincenzo Riccio, Ezequiel Castellano, Ahmet Cetinkaya, Alessio Gambi, Paolo Arcaini",Simulation and validation,2630,"Title: Does road diversity really matter in testing automated driving systems?
Authors: Stefan Klikovits, Vincenzo Riccio, Ezequiel Castellano, Ahmet Cetinkaya, Alessio Gambi, Paolo Arcaini
Published: 2026-07-25
Categories: Simulation and validation
Summary: Abstract Context The use of automated driving systems (ADSs) in the real world requires rigorous testing to ensure safety. To increase trust, ADSs should be tested on a large set of diverse road scenarios. Literature suggests that if a vehicle is driven along a set of geometrically diverse roads—measured using various diversity measures (DMs)—it will react in a wide range of behaviours, thereby increasing the chances of observing failures, or strengthening the confidence in its safety, if no failures are observed. However, this assumption has never been tested before, nor have road DMs been assessed for their properties. Objective Our goal was to perform an exploratory study on 53 currently used and new, potentially promising road DMs. Specifically, our research questions looked into the road DMs themselves, to analyse their properties (e.g. monotonicity , computation efficiency ), and to test correlation between DMs. Furthermore, we investigated the use of road DMs to determine whether the assumption that diverse test suites of roads expose diverse driving behaviour holds. Method Our empirical analysis relies on a state-of-the-art, open-source ADS testing infrastructure and uses a data set containing over 97,000 individual road geometries and matching simulation data that were collected using two driving agents. By considering test suites of various sizes and measuring their roads’ geometric diversity, we studied road DM properties, the correlation between road DMs, and the correlation between road DMs and the observed behaviour. Results Our findings reveal a strong correlation between road diversity and behavioural diversity, confirming that geometrically diverse test suites systematically exercise diverse driving behaviours. We identified and aggregations as most effective, with achieving the strongest correlation of 0.95 while requiring minimal computation time. The analysed measures maintain robust correlation with behavioural diversity across test suites containing roads of varying lengths, eliminating the need for length normalisation. Conclusions These results empirically validate the fundamental assumption underlying diversity-driven ADS testing: road geometry diversity serves as a reliable proxy for behavioural diversity. For practitioners, we recommend or as optimal choices, whilst -based measures should be avoided entirely. The near-identical correlation patterns observed across architecturally different driving agents indicate that our findings generalise beyond specific ADS implementations, providing a solid foundation for diversity-driven test generation and selection.",https://doi.org/10.1007/s10664-026-10920-5,https://link.springer.com/content/pdf/10.1007/s10664-026-10920-5.pdf,categories:inferred from title/abstract
10.4271/12-09-04-0028,A Framework for Precautionary Safety for Automated Driving Systems—Toward Tactical Decisions Fulfilling Quantitative Risk Acceptance Criteria,,"['Magnus Gyllenhammar', 'Gabriel Rodrigues de Campos', 'Fredrik Sandblom', 'Martin Törngren', 'Jonas Fredriksson']","['Simulation and validation', 'Safety-critical cases']",Simulation and validation,2026-07-08,2026-07-11,79,"Magnus Gyllenhammar, Gabriel Rodrigues de Campos, Fredrik Sandblom, Martin Törngren, Jonas Fredriksson","Simulation and validation, Safety-critical cases",0,"Title: A Framework for Precautionary Safety for Automated Driving Systems—Toward Tactical Decisions Fulfilling Quantitative Risk Acceptance Criteria
Authors: Magnus Gyllenhammar, Gabriel Rodrigues de Campos, Fredrik Sandblom, Martin Törngren, Jonas Fredriksson
Published: 2026-07-08
Categories: Simulation and validation, Safety-critical cases
Summary: ",https://doi.org/10.4271/12-09-04-0028,,categories:inferred from title/abstract
10.3390/vehicles8070155,Open-World Critical Scenario Recognition and Maneuver-Level Generation for Autonomous Driving Simulation Testing,"As autonomous driving moves toward large-scale deployment, controllable and efficient simulation testing has become a primary means of ensuring system safety. However, in open-world environments, existing scenario catalogs often fail to cover the full spectrum of potential traffic situations, while rare yet high-risk critical scenarios are even harder to obtain. This scarcity renders traditional random sampling and parameter-sweeping strategies ineffective for identifying unknown risks. This study addresses two core challenges: (1) incomplete scenario catalogs hindering unknown critical scenario recognition and (2) insufficient critical samples, where generated scenarios struggle to balance physical realism and edge case coverage. To tackle the first challenge, we propose an open-world recognition method integrating transformers, random forests, and extreme value theory for precise unseen sample detection. Outlier and validity filtering ensure clustering reliability, and random forest activation patterns cluster unknown samples into meaningful groups to expand the scenario catalog. Experiments show the overall F1_macro improved by 2.3 percentage points over SOTA MDENet, with its clustering accuracy surpassing iterative-AutoNovel by 6.2 percentage points. For the second challenge, we introduce a reinforcement-learning-based maneuver-level generation method. It extracts maneuver semantics from trajectories, constructs a low-dimensional parameter space, and models parameter correlations via a multivariate multimodal distribution. A dual-layer LSTM agent with a composite reward iteratively optimizes policies toward high-risk edge scenarios. The results outperformed RLBE; longitudinal and lateral reconstruction errors were reduced by 32.7% and 15.3%, respectively, while high-risk time steps and the collision rate increased by 4.3% and 5.1%, respectively. Finally, we develop a CARLA-based scenario-driven simulation framework, integrating recognized and generated scenarios into closed-loop testing on high-risk road segments. CAS failure cases validate the generated scenarios’ physical feasibility and extreme challenge. Targeted augmentation of scarce critical scenarios enriches the test library and ensures broader coverage of real-world driving conditions.","['Weijun Dai', 'Changhui Liu', 'Bo Li', 'Jie Zhang', 'Hongbin Wang', 'Lihui Tang', 'Siqi Peng', 'Shan Zhu']","['Scenario generation', 'Simulation and validation', 'Safety-critical cases']",Scenario generation,2025-07-06,2026-07-06,446,"Weijun Dai, Changhui Liu, Bo Li, Jie Zhang, Hongbin Wang, Lihui Tang, Siqi Peng, Shan Zhu","Scenario generation, Simulation and validation, Safety-critical cases",2289,"Title: Open-World Critical Scenario Recognition and Maneuver-Level Generation for Autonomous Driving Simulation Testing
Authors: Weijun Dai, Changhui Liu, Bo Li, Jie Zhang, Hongbin Wang, Lihui Tang, Siqi Peng, Shan Zhu
Published: 2025-07-06
Categories: Scenario generation, Simulation and validation, Safety-critical cases
Summary: As autonomous driving moves toward large-scale deployment, controllable and efficient simulation testing has become a primary means of ensuring system safety. However, in open-world environments, existing scenario catalogs often fail to cover the full spectrum of potential traffic situations, while rare yet high-risk critical scenarios are even harder to obtain. This scarcity renders traditional random sampling and parameter-sweeping strategies ineffective for identifying unknown risks. This study addresses two core challenges: (1) incomplete scenario catalogs hindering unknown critical scenario recognition and (2) insufficient critical samples, where generated scenarios struggle to balance physical realism and edge case coverage. To tackle the first challenge, we propose an open-world recognition method integrating transformers, random forests, and extreme value theory for precise unseen sample detection. Outlier and validity filtering ensure clustering reliability, and random forest activation patterns cluster unknown samples into meaningful groups to expand the scenario catalog. Experiments show the overall F1_macro improved by 2.3 percentage points over SOTA MDENet, with its clustering accuracy surpassing iterative-AutoNovel by 6.2 percentage points. For the second challenge, we introduce a reinforcement-learning-based maneuver-level generation method. It extracts maneuver semantics from trajectories, constructs a low-dimensional parameter space, and models parameter correlations via a multivariate multimodal distribution. A dual-layer LSTM agent with a composite reward iteratively optimizes policies toward high-risk edge scenarios. The results outperformed RLBE; longitudinal and lateral reconstruction errors were reduced by 32.7% and 15.3%, respectively, while high-risk time steps and the collision rate increased by 4.3% and 5.1%, respectively. Finally, we develop a CARLA-based scenario-driven simulation framework, integrating recognized and generated scenarios into closed-loop testing on high-risk road segments. CAS failure cases validate the generated scenarios’ physical feasibility and extreme challenge. Targeted augmentation of scarce critical scenarios enriches the test library and ensures broader coverage of real-world driving conditions.",https://doi.org/10.3390/vehicles8070155,,categories:inferred from title/abstract
10.3390/app16136722,Real-,"Rare and safety-critical traffic situations remain challenging for autonomous driving (AD) because they are underrepresented in common training data and may include objects outside standard detector classes. This paper presents a real-time RGB-LiDAR fusion framework for detecting and reacting to rare traffic situations in CARLA (Car Learning to Act), a reproducible simulator for AD research. The approach combines YOLOv8n-based RGB perception, bird’s-eye-view (BEV) LiDAR clustering, decision-level fusion, an interpretable rule-based safety agent with hysteresis, Time-to-Collision (TTC)-aware escalation, and an automatic emergency braking (AEB) override above the CARLA autopilot. Fused observations are classified as semantic–geometric detections, semantic-only detections, or geometric-only obstacle candidates, where unmatched LiDAR clusters are treated conservatively as candidate-level physical evidence rather than confirmed rare objects. The framework was evaluated on three CARLA maps and 3CSim-inspired corner-case scenarios comprising 19,253 frames, with additional weather/lighting stress tests and a public nuScenes mini cross-platform check. On a manually annotated subset of 4800 CARLA frames, corresponding to approximately 24.9% of the recorded CARLA log, the full framework achieved 96.2% precision, 97.3% recall, and a 96.7% F1-score for safety-relevant threat detection. The control experiments show that the fusion-based safety agent reduced unnecessary braking to 1.7% compared with 8.6% for the LiDAR-only baseline and achieved event-level success on the annotated critical intervals. The proposed CPU-only implementation maintained real-time performance, with an average processing time of 34.7ms.","['Matúš Čávojský', 'Matúš Dopiriak', 'Eugen Šlapak', 'Arisha Al Faruque', 'Tomáš Doboš', 'Gabriel Bugár']","['Simulation and validation', 'Safety-critical cases', 'Perception']",Simulation and validation,2026-07-05,2026-07-07,82,"Matúš Čávojský, Matúš Dopiriak, Eugen Šlapak, Arisha Al Faruque, Tomáš Doboš, Gabriel Bugár","Simulation and validation, Safety-critical cases, Perception",1726,"Title: Real-
Authors: Matúš Čávojský, Matúš Dopiriak, Eugen Šlapak, Arisha Al Faruque, Tomáš Doboš, Gabriel Bugár
Published: 2026-07-05
Categories: Simulation and validation, Safety-critical cases, Perception
Summary: Rare and safety-critical traffic situations remain challenging for autonomous driving (AD) because they are underrepresented in common training data and may include objects outside standard detector classes. This paper presents a real-time RGB-LiDAR fusion framework for detecting and reacting to rare traffic situations in CARLA (Car Learning to Act), a reproducible simulator for AD research. The approach combines YOLOv8n-based RGB perception, bird’s-eye-view (BEV) LiDAR clustering, decision-level fusion, an interpretable rule-based safety agent with hysteresis, Time-to-Collision (TTC)-aware escalation, and an automatic emergency braking (AEB) override above the CARLA autopilot. Fused observations are classified as semantic–geometric detections, semantic-only detections, or geometric-only obstacle candidates, where unmatched LiDAR clusters are treated conservatively as candidate-level physical evidence rather than confirmed rare objects. The framework was evaluated on three CARLA maps and 3CSim-inspired corner-case scenarios comprising 19,253 frames, with additional weather/lighting stress tests and a public nuScenes mini cross-platform check. On a manually annotated subset of 4800 CARLA frames, corresponding to approximately 24.9% of the recorded CARLA log, the full framework achieved 96.2% precision, 97.3% recall, and a 96.7% F1-score for safety-relevant threat detection. The control experiments show that the fusion-based safety agent reduced unnecessary braking to 1.7% compared with 8.6% for the LiDAR-only baseline and achieved event-level success on the annotated critical intervals. The proposed CPU-only implementation maintained real-time performance, with an average processing time of 34.7ms.",https://doi.org/10.3390/app16136722,,categories:inferred from title/abstract
10.1145/3808153,From Particles to Perils: SVGD-Based Hazardous Scenario Generation for Autonomous Driving Systems Testing,"Simulation-based testing of autonomous driving systems (ADS) must uncover realistic and diverse failures in dense, heterogeneous traffic. However, existing search-based seeding methods (e.g., genetic algorithms) struggle in high-dimensional spaces, often collapsing to limited modes and missing many failure scenarios. We present PtoP, a framework that combines adaptive random seed generation with Stein Variational Gradient Descent (SVGD) to produce diverse, failure-inducing initial conditions. SVGD balances attraction toward high-risk regions and repulsion among particles, yielding risk-seeking yet well-distributed seeds across multiple failure modes. PtoP is plug-and-play and enhances existing online testing methods (e.g., reinforcement learning--based testers) by providing principled seeds. Evaluation in CARLA on two industry-grade ADS (Apollo, Autoware) and a native end-to-end system shows that PtoP improves safety violation rate (up to 27.68%), scenario diversity (9.6%), and map coverage (16.78%) over baselines. ###@@@ %%%$$$ <<lorem-noise>> zzqx ¶§ �","['Linfeng Liang', 'Xiao Cheng', 'Tsong Yueh Chen', 'Xi Zheng']","['Scenario generation', 'Simulation and validation', 'Safety-critical cases']",Scenario generation,2026-06-30,2026-06-30,87,"Linfeng Liang, Xiao Cheng, Tsong Yueh Chen, Xi Zheng","Scenario generation, Simulation and validation, Safety-critical cases",1070,"Title: From Particles to Perils: SVGD-Based Hazardous Scenario Generation for Autonomous Driving Systems Testing
Authors: Linfeng Liang, Xiao Cheng, Tsong Yueh Chen, Xi Zheng
Published: 2026-06-30
Categories: Scenario generation, Simulation and validation, Safety-critical cases
Summary: Simulation-based testing of autonomous driving systems (ADS) must uncover realistic and diverse failures in dense, heterogeneous traffic. However, existing search-based seeding methods (e.g., genetic algorithms) struggle in high-dimensional spaces, often collapsing to limited modes and missing many failure scenarios. We present PtoP, a framework that combines adaptive random seed generation with Stein Variational Gradient Descent (SVGD) to produce diverse, failure-inducing initial conditions. SVGD balances attraction toward high-risk regions and repulsion among particles, yielding risk-seeking yet well-distributed seeds across multiple failure modes. PtoP is plug-and-play and enhances existing online testing methods (e.g., reinforcement learning--based testers) by providing principled seeds. Evaluation in CARLA on two industry-grade ADS (Apollo, Autoware) and a native end-to-end system shows that PtoP improves safety violation rate (up to 27.68%), scenario diversity (9.6%), and map coverage (16.78%) over baselines. ###@@@ %%%$$$ <<lorem-noise>> zzqx ¶§ �",https://doi.org/10.1145/3808153,,categories:inferred from title/abstract
10.4271/12-09-04-0032,Model-Guided Scenario Expansion for Data-Driven Autonomous-Vehicle Safety Testing: A Feasibility Demonstration,"This article presents a data-driven pipeline for autonomous-vehicle (AV) safety testing. The pipeline integrates real-world traffic observations with model-guided scenario expansion and safety-metric evaluation to enable an end-to-end AV safety testing framework, demonstrated on a canonical highway scenario. The framework enhances test diversity, realism, and coverage by generating statistically informed variants of observed driving behaviors. Key parameters such as vehicle speed, trajectories, and headways are extracted from naturalistic data and used to train a probabilistic model of traffic dynamics. Scenario variants are sampled from this model and encoded as behavior trees (BTs) for modular, simulation-ready execution. Each scenario is simulated using a consistent AV control configuration, and safety metrics such as minimum safe distance violation, minimum safe distance factor, time to collision, and aggressive driving are applied to evaluate safety outcomes independently of system-specific tuning. A case study based on the highD dataset (110,000+ trajectories) demonstrates the framework’s ability to generate realistic and safety-relevant scenarios, providing an initial demonstration of pipeline feasibility and metric-based evaluation. This initial study is intentionally scoped to a single scenario class and a simplified parametric model to isolate and validate the end-to-end integration of the pipeline.","['Mohamed Elshenawy', 'Aya Aboudina', 'Anhar Abdelmotaleb', 'Mariam Amr', 'Mohamed El-darieby']","['Scenario-based testing', 'Simulation and validation', 'Safety-critical cases', 'Data and knowledge']",Scenario-based testing,2025-06-29,2026-07-01,453,"Mohamed Elshenawy, Aya Aboudina, Anhar Abdelmotaleb, Mariam Amr, Mohamed El-darieby","Scenario-based testing, Simulation and validation, Safety-critical cases, Data and knowledge",1432,"Title: Model-Guided Scenario Expansion for Data-Driven Autonomous-Vehicle Safety Testing: A Feasibility Demonstration
Authors: Mohamed Elshenawy, Aya Aboudina, Anhar Abdelmotaleb, Mariam Amr, Mohamed El-darieby
Published: 2025-06-29
Categories: Scenario-based testing, Simulation and validation, Safety-critical cases, Data and knowledge
Summary: This article presents a data-driven pipeline for autonomous-vehicle (AV) safety testing. The pipeline integrates real-world traffic observations with model-guided scenario expansion and safety-metric evaluation to enable an end-to-end AV safety testing framework, demonstrated on a canonical highway scenario. The framework enhances test diversity, realism, and coverage by generating statistically informed variants of observed driving behaviors. Key parameters such as vehicle speed, trajectories, and headways are extracted from naturalistic data and used to train a probabilistic model of traffic dynamics. Scenario variants are sampled from this model and encoded as behavior trees (BTs) for modular, simulation-ready execution. Each scenario is simulated using a consistent AV control configuration, and safety metrics such as minimum safe distance violation, minimum safe distance factor, time to collision, and aggressive driving are applied to evaluate safety outcomes independently of system-specific tuning. A case study based on the highD dataset (110,000+ trajectories) demonstrates the framework’s ability to generate realistic and safety-relevant scenarios, providing an initial demonstration of pipeline feasibility and metric-based evaluation. This initial study is intentionally scoped to a single scenario class and a simplified parametric model to isolate and validate the end-to-end integration of the pipeline.",https://doi.org/10.4271/12-09-04-0032,,categories:inferred from title/abstract
